lineId,typeReal,headway
6643,1,20
6644,1,20
6645,1,20
17327,3,10
17524,3,10
18116,3,10
31319,1,20
32869,3,10
32881,2,15
32999,3,10
34302,3,10
56036,2,15
56041,2,15
66883,1,20
67501,1,20
69367,2,15
70456,2,15
70458,2,15
71340,3,10
75828,2,15
75848,1,20
77227,1,20
80391,1,20
80606,3,10
82569,1,20
86640,1,20
86647,1,20
93564,1,20
103241,1,20
103922,2,15
105765,1,20
107883,1,20
108349,1,20
111465,1,20
112554,3,10
116301,3,10
116542,3,10
116572,3,10
116577,3,10
117386,3,10
122830,2,15
123241,2,15
124578,1,20
136360,1,20
146115,1,20
148048,1,20
156182,1,20
156249,1,20
156578,1,20
157088,2,15
157123,1,20
157127,1,20
157584,2,15
158195,1,20
160820,1,20
161081,1,20
161738,2,15
161789,1,20
161962,1,20
162040,1,20
162937,1,20
163560,1,20
163600,1,20
163621,2,15
163622,2,15
163786,2,15
163801,2,15
163891,1,20
163917,1,20
164165,1,20
164183,1,20
164287,1,20
169862,1,20
172302,1,20
173744,2,15
175341,1,20
176564,1,20
176598,1,20
176620,1,20
178145,1,20
188178,1,20
188210,1,20
194855,1,20
196239,3,10
196853,1,20
196930,1,20
197529,1,20
207163,2,15
207311,1,20
207350,1,20
207363,1,20
215153,1,20
215762,1,20
224652,1,20
230111,3,10
230161,1,20
237107,1,20
237403,1,20
238240,1,20
239099,1,20
239564,1,20
239871,1,20
240199,1,20
241035,1,20
241335,1,20
251339,1,20
251398,1,20
251763,1,20
252470,1,20
253030,1,20
253141,1,20
253234,1,20
253414,1,20
271694,1,20
287479,1,20
287480,1,20
294892,1,20
313200,1,20
324689,1,20
324990,1,20
325197,1,20
333920,1,20
364109,1,20
367187,1,20
369607,1,20
369608,1,20
369621,1,20
371896,2,15
375240,1,20
375241,1,20
375242,1,20
375243,1,20
375372,1,20
375401,1,20
375402,1,20
379318,1,20
379319,1,20
380998,1,20
389076,1,20
392654,1,20
405025,1,20
444405,1,20
444489,3,10
535714,2,15
538040,1,20
541153,1,20
549901,2,15
552542,2,15
553246,2,15
564812,1,20
568549,1,20
568552,1,20
568553,1,20
568555,1,20
568556,1,20
569168,2,15
569268,2,15
569287,2,15
569288,2,15
569311,2,15
569312,2,15
571028,1,20
571038,1,20
571051,1,20
571052,1,20
571061,2,15
571068,2,15
571928,2,15
571930,3,10
572426,3,10
572481,3,10
572482,3,10
572490,3,10
572519,3,10
572520,3,10
572534,3,10
572535,3,10
572548,3,10
575030,3,10
575031,3,10
575075,2,15
576003,3,10
576250,3,10
576251,2,15
576256,3,10
576342,1,20
576343,1,20
576357,2,15
576358,2,15
582059,1,20
589597,2,15
610715,1,20
660065,3,10
660185,1,20
660460,3,10
660465,1,20
660468,1,20
660474,1,20
660995,3,10
661046,1,20
661047,1,20
721828,1,20
721829,1,20
721835,2,15
721858,2,15
721859,2,15
721957,1,20
812341,2,15
812413,2,15
812416,1,20
897667,1,20
897668,1,20
898201,1,20
898202,1,20
898286,3,10
898860,3,10
898861,3,10
904161,2,15
905266,1,20
905838,2,15
905854,2,15
905972,2,15
905973,2,15
905974,2,15
906846,3,10
906847,3,10
906993,2,15
906994,2,15
906995,2,15
907013,2,15
915364,1,20
915382,3,10
916476,3,10
917547,1,20
917564,1,20
919371,2,15
919552,2,15
919553,2,15
920044,2,15
920047,2,15
920048,2,15
920093,2,15
920094,2,15
920095,2,15
920383,2,15
920385,1,20
920386,2,15
929784,1,20
929785,1,20
929809,1,20
929811,1,20
930093,1,20
930118,1,20
930203,2,15
930204,2,15
930339,2,15
934856,2,15
934857,2,15
934881,2,15
