lineId,lineRef,fromStopId,fromStop,toStopId,toStop,departureTime,arrivalTime
1773068,S1,925973998,Flughafen Muenchen,925973972,Besucherpark,28800,28920
1773068,S1,925973972,Besucherpark,1452862975,Neufahrn (bei Freising),28940,29300
1773068,S1,1452862975,Neufahrn (bei Freising),14342541,Eching,29320,29500
1773068,S1,14342541,Eching,462080887,Lohhof,29520,29700
1773068,S1,462080887,Lohhof,14342543,Unterschleissheim,29720,29900
1773068,S1,14342543,Unterschleissheim,2499529465,Oberschleissheim,29920,30040
1773068,S1,2499529465,Oberschleissheim,14342561,Feldmoching,30060,30240
1773068,S1,14342561,Feldmoching,14342545,Fasanerie,30260,30380
1773068,S1,14342545,Fasanerie,320498721,Moosach,30400,30520
1773068,S1,320498721,Moosach,1452862971,Laim,30540,30780
1773068,S1,1452862971,Laim,1452862960,Hirschgarten,30800,30860
1773068,S1,1452862960,Hirschgarten,316922237,Donnersbergerbruecke,30880,30940
1773068,S1,316922237,Donnersbergerbruecke,601733627,Hackerbruecke,30960,31020
1773068,S1,601733627,Hackerbruecke,478521700,Muenchen Hauptbahnhof (tief),31040,31160
1773068,S1,478521700,Muenchen Hauptbahnhof (tief),1562853769,Karlsplatz (Stachus),31180,31240
1773068,S1,1562853769,Karlsplatz (Stachus),478521714,Muenchen Marienplatz,31260,31320
1773068,S1,478521714,Muenchen Marienplatz,478521713,Muenchen Isartor,31340,31400
1773068,S1,478521713,Muenchen Isartor,478521696,Rosenheimer Platz,31420,31540
1773068,S1,478521696,Rosenheimer Platz,737174147,Muenchen Ost,31560,31680
1773070,S1,461820236,Freising,14342540,Pulling (bei Freising),28800,28980
1773070,S1,14342540,Pulling (bei Freising),14342574,Neufahrn (bei Freising),29000,29300
1773070,S1,14342574,Neufahrn (bei Freising),14342541,Eching,29320,29500
1773070,S1,14342541,Eching,462080887,Lohhof,29520,29700
1773070,S1,462080887,Lohhof,14342543,Unterschleissheim,29720,29900
1773070,S1,14342543,Unterschleissheim,2499529465,Oberschleissheim,29920,30040
1773070,S1,2499529465,Oberschleissheim,14342561,Feldmoching,30060,30240
1773070,S1,14342561,Feldmoching,14342545,Fasanerie,30260,30380
1773070,S1,14342545,Fasanerie,320498721,Moosach,30400,30520
1773070,S1,320498721,Moosach,1452862971,Laim,30540,30780
1773070,S1,1452862971,Laim,1452862960,Hirschgarten,30800,30860
1773070,S1,1452862960,Hirschgarten,316922237,Donnersbergerbruecke,30880,30940
1773070,S1,316922237,Donnersbergerbruecke,601733627,Hackerbruecke,30960,31020
1773070,S1,601733627,Hackerbruecke,478521700,Muenchen Hauptbahnhof (tief),31040,31160
1773070,S1,478521700,Muenchen Hauptbahnhof (tief),1562853769,Karlsplatz (Stachus),31180,31240
1773070,S1,1562853769,Karlsplatz (Stachus),478521714,Muenchen Marienplatz,31260,31320
1773070,S1,478521714,Muenchen Marienplatz,478521713,Muenchen Isartor,31340,31400
1773070,S1,478521713,Muenchen Isartor,478521696,Rosenheimer Platz,31420,31540
1773070,S1,478521696,Rosenheimer Platz,737174147,Muenchen Ost,31560,31680
1773071,S1,737174147,Muenchen Ost,60013076,Rosenheimer Platz,28800,28860
1773071,S1,60013076,Rosenheimer Platz,60013075,Muenchen Isartor,28880,28940
1773071,S1,60013075,Muenchen Isartor,19475890,Muenchen Marienplatz,28960,29020
1773071,S1,19475890,Muenchen Marienplatz,1562853773,Karlsplatz (Stachus),29040,29160
1773071,S1,1562853773,Karlsplatz (Stachus),237680533,Muenchen Hauptbahnhof (tief),29180,29240
1773071,S1,237680533,Muenchen Hauptbahnhof (tief),11218960,Hackerbruecke,29260,29320
1773071,S1,11218960,Hackerbruecke,737174132,Donnersbergerbruecke,29340,29400
1773071,S1,737174132,Donnersbergerbruecke,1452862969,Hirschgarten,29420,29480
1773071,S1,1452862969,Hirschgarten,1452862973,Laim,29500,29560
1773071,S1,1452862973,Laim,14342547,Moosach,29580,29820
1773071,S1,14342547,Moosach,463183616,Fasanerie,29840,29960
1773071,S1,463183616,Fasanerie,462107131,Feldmoching,29980,30100
1773071,S1,462107131,Feldmoching,1452862982,Oberschleissheim,30120,30300
1773071,S1,1452862982,Oberschleissheim,1452862998,Unterschleissheim,30320,30380
1773071,S1,1452862998,Unterschleissheim,462080887,Lohhof,30400,30520
1773071,S1,462080887,Lohhof,462080842,Eching,30540,30720
1773071,S1,462080842,Eching,1452862979,Neufahrn (bei Freising),30740,30920
1773071,S1,1452862979,Neufahrn (bei Freising),1698418407,Besucherpark,30940,31300
1773071,S1,1698418407,Besucherpark,925973998,Flughafen Muenchen,31320,31440
1773072,S1,737174147,Muenchen Ost,60013076,Rosenheimer Platz,28800,28860
1773072,S1,60013076,Rosenheimer Platz,60013075,Muenchen Isartor,28880,28940
1773072,S1,60013075,Muenchen Isartor,19475890,Muenchen Marienplatz,28960,29020
1773072,S1,19475890,Muenchen Marienplatz,1562853773,Karlsplatz (Stachus),29040,29160
1773072,S1,1562853773,Karlsplatz (Stachus),237680533,Muenchen Hauptbahnhof (tief),29180,29240
1773072,S1,237680533,Muenchen Hauptbahnhof (tief),11218960,Hackerbruecke,29260,29320
1773072,S1,11218960,Hackerbruecke,737174132,Donnersbergerbruecke,29340,29400
1773072,S1,737174132,Donnersbergerbruecke,1452862969,Hirschgarten,29420,29480
1773072,S1,1452862969,Hirschgarten,1452862973,Laim,29500,29560
1773072,S1,1452862973,Laim,14342547,Moosach,29580,29820
1773072,S1,14342547,Moosach,463183616,Fasanerie,29840,29960
1773072,S1,463183616,Fasanerie,462107131,Feldmoching,29980,30100
1773072,S1,462107131,Feldmoching,1452862982,Oberschleissheim,30120,30300
1773072,S1,1452862982,Oberschleissheim,1452862998,Unterschleissheim,30320,30380
1773072,S1,1452862998,Unterschleissheim,462080887,Lohhof,30400,30520
1773072,S1,462080887,Lohhof,462080842,Eching,30540,30720
1773072,S1,462080842,Eching,1452862979,Neufahrn (bei Freising),30740,30920
1773072,S1,1452862979,Neufahrn (bei Freising),1452862993,Pulling (bei Freising),30940,31180
1773072,S1,1452862993,Pulling (bei Freising),461820236,Freising,31200,31440
1782540,S2,1460254898,Erding,1460254884,Altenerding,28800,28860
1782540,S2,1460254884,Altenerding,248073694,Aufhausen,28880,29000
1782540,S2,248073694,Aufhausen,248073693,St. Koloman,29020,29200
1782540,S2,248073693,St. Koloman,1460254917,Ottenhofen,29220,29400
1782540,S2,1460254917,Ottenhofen,1460254905,Markt Schwaben,29420,29600
1782540,S2,1460254905,Markt Schwaben,1460254929,Poing,29620,29860
1782540,S2,1460254929,Poing,1460254901,Grub,29880,30000
1782540,S2,1460254901,Grub,1460254903,Heimstetten,30020,30140
1782540,S2,1460254903,Heimstetten,1187860196,Feldkirchen,30160,30280
1782540,S2,1187860196,Feldkirchen,1460254934,Riem,30300,30480
1782540,S2,1460254934,Riem,60023416,Berg am Laim,30500,30680
1782540,S2,60023416,Berg am Laim,1469098205,Leuchtenbergring,30700,30820
1782540,S2,1469098205,Leuchtenbergring,1452724502,Muenchen Ost,30840,30960
1782540,S2,1452724502,Muenchen Ost,60013076,Rosenheimer Platz,30980,31040
1782540,S2,60013076,Rosenheimer Platz,60013075,Muenchen Isartor,31060,31120
1782540,S2,60013075,Muenchen Isartor,19475890,Muenchen Marienplatz,31140,31200
1782540,S2,19475890,Muenchen Marienplatz,1562853773,Karlsplatz (Stachus),31220,31340
1782540,S2,1562853773,Karlsplatz (Stachus),237680533,Muenchen Hauptbahnhof (tief),31360,31420
1782540,S2,237680533,Muenchen Hauptbahnhof (tief),11218960,Hackerbruecke,31440,31500
1782540,S2,11218960,Hackerbruecke,737174132,Donnersbergerbruecke,31520,31580
